rating,title,author,fname,lname,date,language
**,white noise,don delillo,don,delillo,8/31/2009,english
**,daughters of the vicar,d.h. lawrence,d.h.,lawrence,8/31/2009,english
****,we wish to inform you,philip gourevitch,philip,gourevitch,9/7/2009,english
***,yacoubian building,alaa al-aswani,alaa,al-aswani,9/9/2009,english
***,"rue ordener, rue labat",sarah kofman,sarah,kofman,9/11/2009,english
***,brideshead revisited,evelyn waugh,evelyn,waugh,9/21/2009,english
**,american,henry james,henry,james,9/30/2009,english
****,as i lay dying,wm faulkner,wm,faulkner,10/7/2009,english
***,nadja,andré breton,andré,breton,10/11/2009,english
***,spoils of poynton,henry james,henry,james,10/14/2009,english
****,light in august,wm faulkner,wm,faulkner,10/21/2009,english
**,naomi,junichiro tanizaki,junichiro,tanizaki,10/26/2009,english
***,"go down, moses",wm faulkner,wm,faulkner,11/9/2009,english
***,el coronel no tiene quien le escriba,gabriel garcía márquez,gabriel,garcía márquez,11/27/2009,spanish
***,ambassadors,henry james,henry,james,11/30/2009,english
***,pale fire,vladimir nabokov,vladimir,nabokov,12/1/2009,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,12/14/2009,english
****,house of sand and fog,andre dubus iii,andre,dubus iii,1/2/2010,english
****,murder of roger ackroyd,agatha christie,agatha,christie,1/6/2010,english
***,blind assassin,margaret atwood,margaret,atwood,1/31/2010,english
**,"everything ravaged, everything burned",wells tower,wells,tower,2/19/2010,english
***,secret sharer,joseph conrad,joseph,conrad,3/17/2010,english
****,arcadia,tom stoppard,tom,stoppard,4/17/2010,english
***,absent,betool khedairi,betool,khedairi,4/30/2010,english
***,corrections,jonathan franzen,jonathan,franzen,5/24/2010,english
***,invisible cities,italo calvino,italo,calvino,6/15/2010,english
****,se una notte d'inverno un viaggiatore,italo calvino,italo,calvino,6/19/2010,italian
***,girl with the dragon tattoo,stieg larsson,stieg,larsson,7/2/2010,english
***,andromeda strain,michael crichton,michael,crichton,7/3/2010,english
***,solitudes,john crowley,john,crowley,7/18/2010,english
****,final del juego,julio cortázar,julio,cortázar,7/25/2010,spanish
****,eréndira y otros cuentos,gabriel garcía márquez,gabriel,garcía márquez,8/25/2010,spanish
***,three cups of tea,greg mortenson,greg,mortenson,8/29/2010,english
***,travesuras de la niña mala,mario vargas llosa,mario,vargas llosa,8/30/2010,spanish
***,girl who played with fire,stieg larsson,stieg,larsson,9/1/2010,english
*****,season of migration to the north,tayeb salih,tayeb,salih,9/5/2010,english
